CONTRACT_ID|PLAN_ID|FORMULARY_ID|RXCUI|CONTRACT_YEAR
H0074|001|00022439|314076|2022
H0074|001|00022439|314077|2022
H0074|001|00022439|314142|2022
H0074|001|00022439|314203|2022
H0074|001|00022439|314231|2022
H0074|001|00022439|315107|2022
H0074|001|00022439|317173|2022
H0074|001|00022439|317573|2022
H0074|001|00022439|349199|2022
H0074|001|00022439|349200|2022
H0074|001|00022439|349201|2022
H0074|001|00022439|349353|2022
H0074|001|00022439|349373|2022
H0074|001|00022439|349401|2022
H0074|001|00022439|349405|2022
H0074|001|00022439|349483|2022
H0074|001|00022439|360507|2022
H0074|001|00022439|403853|2022
H0074|001|00022439|403854|2022
H0074|001|00022439|403855|2022
H0074|001|00022439|404011|2022
H0074|001|00022439|404013|2022
H0074|001|00022439|476345|2022
H0074|001|00022439|476349|2022
H0074|001|00022439|476350|2022
H0074|001|00022439|476351|2022
H0074|001|00022439|477130|2022
H0074|001|00022439|577776|2022
H0074|001|00022439|578325|2022
H0074|001|00022439|578330|2022
H0074|001|00022439|597967|2022
H0074|001|00022439|597971|2022
H0074|001|00022439|597974|2022
H0074|001|00022439|597977|2022
H0074|001|00022439|597980|2022
H0074|001|00022439|597984|2022
H0074|001|00022439|597987|2022
H0074|001|00022439|597990|2022
H0074|001|00022439|597993|2022
H0074|001|00022439|617310|2022
H0074|001|00022439|617311|2022
H0074|001|00022439|617312|2022
H0074|001|00022439|636042|2022
H0074|001|00022439|636045|2022
H0074|001|00022439|639537|2022
H0074|001|00022439|647237|2022
H0074|001|00022439|647239|2022
H0074|001|00022439|722126|2022
H0074|001|00022439|722131|2022
H0074|001|00022439|722134|2022
H0074|001|00022439|722137|2022
H0074|001|00022439|730861|2022
H0074|001|00022439|730866|2022
H0074|001|00022439|730869|2022
H0074|001|00022439|730872|2022
H0074|001|00022439|802749|2022
H0074|001|00022439|845488|2022
H0074|001|00022439|848131|2022
H0074|001|00022439|848135|2022
H0074|001|00022439|848140|2022
H0074|001|00022439|848145|2022
H0074|001|00022439|848151|2022
H0074|001|00022439|854925|2022
H0074|001|00022439|854984|2022
